absorb;SPONGE,SLURP,DRAIN,ENSORBI,MITIIA
air;EASY-BREEZY,DRAFT,MIENO,POVITRYA,HURU
alarm;COCKADOODLEDOO,RINGALING,CLAXON,STARTLE,KONSTERNO
alternate;WHAT-IF,ANOTHER,NEW-CHOICE,FAIRWEATHER,SWITCHAROO,SUROGATA,HAHA-UNLESS
animal;CRIKEY,FURRY,FUZZBALL,FLUFFY,CRITTERS,BESTO,ZOO,PAWPRINT,MENAGERIE
apology;MEA-CULPA,GOMEN,WHOOPSIE-DAISY,ACCIDENT,PENTI-PRI,NEVER-THOUGHT-I-WOULD-HAVE-TO-MAKE-THIS
blast;KABLAM,KERPOW,EXPLOSION,DETONATE,EKSPLODBRUI
breach;CHARGE,BANZAI,OH-YEAAAAAH,BOMBARD,ENROMPO
break;CRASH,SHATTER,SMAAAAASH,SNAP,DISROMPI
burst;GARDENHOSE,ANEURISMO,BALLOON,POP-POP,DILATI
cat;PUSSYCAT,WHISKER,NEKO,HAIRBALL,NYAA,FELISO,MEOW-MEOW-MEOW-MEOW-MEOW,KATINO
charm;SWEETIE-PIE,HONEYDEW,CARMEGI,AMITIE,INCANTARE,BUTTERLUMPS
command;WOULD-YOU-KINDLY,KOMANDI,BEFEHLEN,ULTIMATUM,CEDI,HONEYDEW
cure;HOWZER,QUE-QUE,HOPKINS,HOUSE,ASCLEPIUS,NIGHTINGALE,MEDIC,TAKE-TWO,MAYO,SANIGI,PANACEA,PHYSICK,FAT-LOG
demon;DEMONIC,HELLSPAWN,DOMINATION,HORN,DIABLO,SIX-SIX-SIX,ASMODEUS
detect;COLUMBO,HERLOCK,GUMSHOE,ZVARRI,WHODUNIT,HOWCATCHEM,SLEUTH,WATSON,MALKOVRO,SHOLMES
devastation;CALAMITOUS,ANNIHILATE,SCORCHED,ERASED,GLASS-IT,RUINIGI,NUKEM
dog;ARF-ARF-ARF-ARF-ARF-ARF,BARK-BARK,DOGGONE,GOODBOY,FIDO,VIRHUNDO,BALTO,UPDOG
elephant;BARBAR,HANNIBAL,JAWAHARLAL,TRUNK,IVORY,PAKIDERMO
exorcism;BEGONE,EGO-TE-ABSOLVO,GUTOR,EXORCIZAMUS-TE,VADE-RETRO,ELPELI-DEMONOJN,CONSTANTINE
extinguish;SETON,ORR-N-ORR,MEREX,ESTINGAPARATO,TOOTHPASTE,SMOKY
fear;SPOOKUM,BOO,GOOSEBUMPS,TERURI,MALKURAJI,JINKIES
fight;SICCUM,MELEE,BOPPEM,GETTEM,AFFRAY,INTERBATIJI
fire;ZIPPO,SIZZLE,INFERNO,COMBUST,ASHES,EKBRULIGI
flail;BASTONEGO,USE-STICK,BALL-AND-CHAIN,KRIEGSFLEGEL,PYEONGON,HUSSITE
flight;SOAR,WINGED,DELTA,TAKEOFF,VOLARE,PEANUTS,FLUGO
forest;MUSHROOM,UPROOT,ARBARO,MONTEVERDE,HALLERBOS,BWINDI,WAIPOUA,SAPLING,PETAL-CRASH
gaze;EYES-UP-HERE,AMORSPEKTEMULO,BOOBA,DOBONHONKEROS,PEEKING-TOM,HUBBA-HUBBA
genderbend;EGG,SHEBOYGAN,CISNT,PRONOUNS,TRANSSEKSULO,BRISKET<3,RANMA,ECHARTI,MERMAIDS,CLOWNFISH,HEAT-FROM-FIRE,BLAHAJ
ghost;FANTOMO,BOO-DIDDLY,MOGWAI,MONONOKE,DYBBUK,PEEK-A-BOO,GEIST
goat;TIN-CAN,CAPRICORN,TANNGRISNIR,NANNY,BILLY,OREAMNOSO
grow;EMBIGGEN,SUPER-SIZE,REDSHROOM,GRANDIJI,AMPLIAR,VERGROTEN,EAT-CAKE
horse;NEIGHBOR,GALLOP,SADDLE,CEVALO,SEABISCUIT,CLIP-CLOP,OSAGE
ice;CHILL,IGLOO,MAY-TAG,AMUNDSEN,SNOWFLAKE,GLACIO,FROSTBITE
insect;CRAWLIES,HIVE,EUSOCIAL,INSEKTOJ,APHID,CHRYSALIS,KATYDID,TSETSE,BUGSBUGSBUGS
jail;GUANTANAMO,SING-SING,DUFFY,WILLOT,SHAWSHANK,SUPERMAX,GAOL,MALLIBEREJO
launch;HOUSTON,GODDARD,SLINGSHOT,BOSSART,LIFTOFF,LANCHI,GUIANA,KENNEDY,BAIKONUR
light;MAG-LITE,FENIX,ROMER,CLAP-ON,ILUMINI,LUMIERE
lightning;ZIP-ZAP,FARADAY,TESLA,COULOMB,AMPERE,CEI-U,FULMO
lord;MILORD,LAIRD,THE-RIGHT-HONOURABLE-THE-LORDS-SPIRITUAL-AND-TEMPORAL-ASSEMBLED,PATRICIUS,FEUDESTRO,BIG-SHOT
luxury;GUCCI,ROYCE,CHANEL,LUKSA,MALSEVERE,WEELDE,CADILLAC
mace;WHACKA,SHARUR,BAYEUX,PERNACH,SHISHPAR,BULAVA,KLABO
magic;ALAKAZAM,ABRACADABRA,SIM-SALA-BIM,BIPPITY-BOPPITY,SKEDADDLE-SKIDOODLE,MECCA-LECCA-HI,SKADOOSH,PLEASE,MEDEA,PRISENCOLINENSINAINCIUSOL
metal;ALLOY,CLANK,TROUVE,ANTIMONY,EUREKA,METALDETEKTILO
missile;TOMAHAWK,PEACEKEEPER,HIROC,RUBEZH,SARMAT,HWASONG,SURYA,SKIFF,SIPER,THUNDERBIRD,MORFEY,VITYAZ,BOLIDE,AEGIS,ASPIDE,ASRAD
nullify;VOIDOUT,NO-SELL,NUH-UH,NONONO,NICE-TRY,ABROGATE,ANNULLIEREN,NULIGI,YOU-WILL-NOT,UH-UH-UH
obey;SIMON-SAYS,SKRIBORDONO,ERLASS,EDITTO,MOM-SAID
observe;VIDI,LEMME-SEE,I-SCRY,ACTION,ETZPE,PEEPERS
open;SESAME,EFBIAYE,KNOCK-KNOCK,APERTI,AVATA
owl;NIGHTJAR,MINERVA,LAKSHMI,KAEPORA,COO,STRIGO
passage;SHORTCUT,TRAIREJO,QHAPAC,LIMINATE,SQUEEZIN
power;BEEFY,STRONK,POTENCO,WHAMMY,CHECK-THIS-OUT,CASTMA,MALKATENI
protect;KEVLAR,KIRASO,AEGIS,HEATER,BARDING,SUIT-UP,IRONCLAD,PANOPLY
resurrect;REVIVIJI,PHOENIX,MULLIGAN,ANASTASIS,DUMUZID,INDRA
seal;ENKARCERIGI,PANDORA,TARTARUS,FETTER,LOCK-EM-UP
security;GET-AWAY,PARADISO,PARADIZEO,SAFE-SPACE,NIRVANA,TIR-NA-NOG
shadow;UMBRA,UMTHUNZI,IILIM,POURI,DIMMER,HADH
shelter;XANADU,VERSAILLES,ALHAMBRA,TAJ-MAHUL,PETERHOF,MYSORE,POTALA
sling;STONJETILO,LACROSSE,FUSTIBALUS,BALEAR,KESTROS
smite;LUDD,FRAPI,PERCUTITE,TARAW,HAHAU
snake;SERPENTETO,HISSSSS,ASP,ADDER,UROBOROS
spear;AMENONUHOKO,TONBOKIRI,HOPLITE,PILUM,ITAGAKI,IAPETUS,GUNGNIR,LONGINUS
stone;ARGILA,ANDESITE,FELDSPAR,GABBRO,GNEISS,LAHAR,MORAINE,SCHIST
